timestamp,decode_inflight,node_weights,service_rate,decode_latency,prefill_latency,error
1768193184.9172053,"{'1': 0, '0': 0}","{'0': 1.9427286389243306, '1': 0.5847551704805345}","{'0': 65.15561359208407, '1': 9.047104853229522}",0.32132442205412937,0.0636505419346006,
1768193186.7831252,"{'1': 1, '0': 1}","{'0': 1.9177286389243307, '1': 0.6347551704805345}","{'0': 85.02938307010922, '1': 10.305527051476531}",0.30013449879681725,0.05196938721214321,
1768193191.4795356,"{'1': 2, '0': 6}","{'0': 1.8451958021056623, '1': 0.6716770955286852}","{'0': 67.8048253666042, '1': 16.971723638625175}",0.18854136558344442,0.03101809271539622,
1768193194.926365,"{'1': 6, '0': 13}","{'0': 1.861621865043067, '1': 0.6359987527176385}","{'0': 56.63297449055527, '1': 13.976332846666722}",0.3550631503658626,0.16790594977064968,
1768193198.3685231,"{'1': 1, '0': 1}","{'0': 1.8689119342784386, '1': 0.6033535097947512}","{'0': 79.80706759522076, '1': 11.760062512688267}",0.3220504091077784,0.06447595488714344,
1768193202.6746686,"{'1': 7, '0': 13}","{'0': 1.9189119342784384, '1': 0.6212683053582363}","{'0': 64.31351972458344, '1': 13.58043949656375}",0.1647487372187956,0.023726060214693243,
1768193205.7388957,"{'1': 16, '0': 47}","{'0': 1.9939119342784384, '1': 0.6462683053582363}","{'0': 49.58026818329653, '1': 12.300465680902223}",0.2210019259452531,0.35557143412089903,
1768193209.5043197,"{'1': 4, '0': 11}","{'0': 1.993637475979102, '1': 0.5938097846407865}","{'0': 69.68998372202893, '1': 14.64229811576319}",0.1661162359094975,0.021895759300373734,
1768193213.5746663,"{'1': 9, '0': 25}","{'0': 1.994298253459856, '1': 0.5938097846407865}","{'0': 58.26345522607452, '1': 11.723253283531202}",0.17213252604733995,0.04102203578442762,
1768193216.7584057,"{'1': 4, '0': 12}","{'0': 1.9846591291013627, '1': 0.545020987843014}","{'0': 68.49731449054163, '1': 11.017792379901628}",0.15640465110757204,0.018094959335101267,
1768193221.0936375,"{'1': 6, '0': 24}","{'0': 1.9596591291013628, '1': 0.5811745192950838}","{'0': 63.62209839947294, '1': 11.12272366514397}",0.43340745924360624,0.38978708448454846,
1768193224.9111717,"{'1': 3, '0': 0}","{'0': 1.9596591291013628, '1': 0.7311745192950839}","{'0': 55.97371825537248, '1': 21.6753728066613}",0.18252110628003498,0.0409778433670664,
1768193228.359791,"{'1': 6, '0': 15}","{'0': 1.909659129101363, '1': 0.69808796270255}","{'0': 59.619310001761235, '1': 15.390142448346609}",0.15853013331778953,0.18656203263623963,
1768193231.7621982,"{'1': 3, '0': 3}","{'0': 1.909659129101363, '1': 0.6022491259448726}","{'0': 53.91429822585276, '1': 13.991059951463725}",0.16405986116151167,0.026111559036347237,
1768193236.1685512,"{'1': 9, '0': 17}","{'0': 1.892792590948998, '1': 0.646983379863201}","{'0': 57.589246798109706, '1': 13.288610702225116}",0.24358150366353967,0.17255463271178587,
1768193239.4860375,"{'1': 3, '0': 0}","{'0': 1.9637405021995782, '1': 0.5975093159753017}","{'0': 68.12332829762121, '1': 15.083894078386539}",0.24843312258817918,0.03385376771227831,
1768193243.682613,"{'1': 2, '0': 4}","{'0': 1.9164338023896579, '1': 0.6102666591867676}","{'0': 60.074169218584515, '1': 15.279969261490063}",0.5942642007215448,0.05479338112389168,
1768193246.7514954,"{'1': 2, '0': 0}","{'0': 1.866433802389658, '1': 0.7202696840917792}","{'0': 64.6117716162186, '1': 18.744767943271285}",0.18148664832534295,0.04006731023755955,
1768193250.2242174,"{'1': 19, '0': 51}","{'0': 1.9414338023896578, '1': 0.6702696840917791}","{'0': 59.4828304219962, '1': 13.694440638247471}",0.16342635604412675,0.4236958667073075,
1768193253.778747,"{'1': 3, '0': 1}","{'0': 2.0164338023896575, '1': 0.657892780773834}","{'0': 70.66259234997386, '1': 19.65574409535094}",0.17816614829559965,0.07537990799873392,
1768193258.3132713,"{'1': 4, '0': 9}","{'0': 2.0414338023896574, '1': 0.650734975034714}","{'0': 56.14972142195918, '1': 12.364626671032717}",0.3296844030098912,0.07019145717339224,
1768193261.4743772,"{'1': 5, '0': 12}","{'0': 2.0164338023896575, '1': 0.722804644433137}","{'0': 62.653613544882134, '1': 15.402160374898532}",0.180445432881994,0.038063672410521956,
1768193264.4251485,"{'1': 0, '0': 0}","{'0': 1.9664338023896577, '1': 0.6728046444331369}","{'0': 62.74521518675778, '1': 18.713383615472424}",0.4645376279894452,0.09498852732532499,
1768193268.6996527,"{'1': 2, '0': 0}","{'0': 1.9974700790699011, '1': 0.7161023409780415}","{'0': 72.31204851141787, '1': 15.644053405028341}",0.2883988197803896,0.029375219521350034,
1768193272.0538642,"{'1': 3, '0': 1}","{'0': 2.054997436822713, '1': 0.7112070911480387}","{'0': 55.29396576920049, '1': 12.000173342911307}",0.16615166408280752,0.05508147551425797,
1768193275.4212265,"{'1': 5, '0': 9}","{'0': 2.054997436822713, '1': 0.6707463541386036}","{'0': 55.54076978913961, '1': 14.145908665029939}",0.19380531750687177,0.15008262855741628,
1768193278.8826818,"{'1': 0, '0': 1}","{'0': 2.1049974368227127, '1': 0.681834361847822}","{'0': 68.96835736022544, '1': 11.33270660320065}",0.5178123817271878,0.2959405942028208,
1768193283.412578,"{'1': 5, '0': 14}","{'0': 2.0425148496612358, '1': 0.6330248315323342}","{'0': 70.86945867371391, '1': 16.865550941417773}",0.20981700871513287,0.035997860042752766,
1768193286.6445155,"{'1': 2, '0': 5}","{'0': 1.9246759043109234, '1': 0.6080248315323342}","{'0': 76.70340871437907, '1': 10.39422834986086}",0.4672207376737915,0.044206585080301106,
1768193290.8441553,"{'1': 3, '0': 0}","{'0': 1.866193504888129, '1': 0.6020731218607157}","{'0': 64.35317018638779, '1': 15.819442030592258}",0.18457658358752682,0.025393076625951822,
1768193294.2354107,"{'1': 4, '0': 12}","{'0': 1.891193504888129, '1': 0.6270731218607157}","{'0': 62.94524011255655, '1': 16.775621064191625}",0.2968563849380059,0.03539817702380091,
1768193297.5369349,"{'1': 7, '0': 1}","{'0': 1.8685827319370092, '1': 0.7020731218607158}","{'0': 56.513831195306544, '1': 13.086550337794476}",0.48364551642241105,0.3284562642829848,
1768193301.7824397,"{'1': 4, '0': 5}","{'0': 1.943582731937009, '1': 0.6270731218607157}","{'0': 65.6493049952825, '1': 11.28388271061881}",0.19068292169734954,0.027985843868406714,
1768193305.1026096,"{'1': 7, '0': 22}","{'0': 1.943582731937009, '1': 0.6020731218607157}","{'0': 67.73185880030191, '1': 13.729832485798314}",0.22802523943772424,0.04975430508794422,
1768193308.3684483,"{'1': 1, '0': 1}","{'0': 1.9455096973878607, '1': 0.6152358728101137}","{'0': 61.47904134818722, '1': 10.140662235561736}",0.324591046422934,0.06999864345606582,
1768193312.6348832,"{'1': 3, '0': 8}","{'0': 1.9955096973878605, '1': 0.6343338894392421}","{'0': 68.75659750775704, '1': 10.909333978211352}",0.3614755513710084,0.03445037642700527,
1768193315.7060814,"{'1': 4, '0': 13}","{'0': 1.9571067950416707, '1': 0.6509441026659442}","{'0': 60.625367093236946, '1': 16.035883511515074}",0.17969362023131277,0.029557940688132903,
